Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes,OutgoingCashLink
"152","RDS-B","Royal Dutch Shell PLC Royal Dut","Royal Dutch Shell","NYQ","TFSA","USD",,,,,,,,,,,

"153","AC.TO","Air Canada","Air Canada","TOR","TFSA","CAD",,,,,,,,,,,
"154","AC.TO","Air Canada","Air Canada","TOR","TFSA","CAD","50","19.73","9.95","2020-06-10 GMT+0200","06:00:00",,"Buy",,,,
"155","AC.TO","Air Canada","Air Canada","TOR","TFSA","CAD","19","26.41","9.95","2021-04-14 GMT+0200","19:13:00",,"Buy",,,,
"156","AC.TO","Air Canada","Air Canada","TOR","TFSA","CAD","69","14.41","9.95","2025-05-02 GMT+0200","16:36:00","0","Sell All","FIFO",,,

"157","XLV","State Street Health Care Select","Select Sector SPDR Trust The Health Care","PCX","TFSA","USD",,,,,,,,,,,
"158","XLV","State Street Health Care Select","Select Sector SPDR Trust The Health Care","PCX","TFSA","USD","4","105.79","9.95","2020-07-20 GMT+0200","06:00:00",,"Buy",,,,
"159","XLV","State Street Health Care Select","Select Sector SPDR Trust The Health Care","PCX","TFSA","USD","1.42","0","0","2020-10-01 GMT+0200","21:08:00",,"Dividend","FIFO",,,
"160","XLV","State Street Health Care Select","Select Sector SPDR Trust The Health Care","PCX","TFSA","USD","4","110.8","9.95","2020-12-01 GMT+0200","16:33:00",,"Sell","FIFO",,,

"161","GERM","Amplify ETF Trust Amplify Treat","ETFMG Treatments Testing and Advancements","PCX","TFSA","USD",,,,,,,,,,,
"162","GERM","Amplify ETF Trust Amplify Treat","ETFMG Treatments Testing and Advancements","PCX","TFSA","USD","12","33.4099","9.95","2020-07-20 GMT+0200","06:00:00",,"Buy",,,,
"163","GERM","Amplify ETF Trust Amplify Treat","ETFMG Treatments Testing and Advancements","PCX","TFSA","USD","12","27.0501","9.95","2020-08-28 GMT+0200","15:56:00",,"Sell","FIFO",,,

"164","SNE","Sony Corporation","Sony Corporation","NYQ","TFSA","USD",,,,,,,,,,,

"165","ZBH","Zimmer Biomet Holdings, Inc.","Zimmer Biometric Holdings Inc","NYQ","TFSA","USD",,,,,,,,,,,
"166","ZBH","Zimmer Biomet Holdings, Inc.","Zimmer Biometric Holdings Inc","NYQ","TFSA","USD","3","134.3499","9.95","2020-07-20 GMT+0200","06:00:00",,"Buy",,,,
